epochDates,High,Low,Open,Close,Volume,Adj Close,20dma,60dma,100dma
1495684800,242.0800018,240.9600067,241.1999969,241.7599945,64071700,220.5887146,239.1510002,237.0263329,234.2742003
1495771200,241.8999939,241.4499969,241.5399933,241.7100067,46629900,220.5431061,239.3325005,237.0836662,234.4389003
1496116800,241.7899933,241.1600037,241.3399963,241.5,35201900,220.3514709,239.4735008,237.1349996,234.5881003
1496203200,241.8800049,240.6399994,241.8399963,241.4400024,91796000,220.2967529,239.6070007,237.1971662,234.7385004
1496289600,243.3800049,241.6399994,241.9700012,243.3600006,68962000,222.0485535,239.851001,237.3031662,234.9000003
1496376000,244.3500061,243.0800018,243.4199982,244.1699982,88666100,222.7876282,240.1215012,237.4299995,235.0771002
1496635200,244.3000031,243.7599945,243.9700012,243.9900055,44698800,222.6234436,240.3360016,237.548833,235.2524002
1496721600,243.9799957,243.1199951,243.3399963,243.2100067,50375400,221.9117432,240.5135017,237.640833,235.4135002
1496808000,243.9199982,242.8300018,243.6000061,243.6600037,54144300,222.3223419,240.7245018,237.7383331,235.5848003
1496894400,244.3300018,243.1699982,243.7700043,243.7799988,65950700,222.4317627,240.920002,237.8529999,235.7521002
1496980800,245.0099945,241.9499969,244.0899963,243.4100037,132256400,222.0942078,241.1215019,237.9273333,235.9237003
1497240000,243.4199982,242.3800049,243.1300049,243.3600006,86108100,222.0485535,241.3405022,238.0086667,236.0898003
1497326400,244.6100006,243.5800018,243.9799957,244.5500031,60067000,223.1343994,241.5530022,238.1340001,236.2762003
1497412800,244.8699951,243.2899933,244.8600006,244.2400055,78602300,222.8515167,241.7610023,238.2585002,236.4512003
1497499200,243.9100037,242.3600006,242.6799927,243.7700043,66464900,222.422699,242.1585022,238.4258336,236.6274004
1497585600,242.8300018,241.6300049,242.7700043,242.6399994,84553100,222.4712677,242.452002,238.565167,236.7778003
1497844800,244.7299957,243.4799957,243.5899963,244.6600037,65123800,224.323349,242.7695023,238.7423337,236.9287003
