Date,Close
5/25/2017,237.0263329
5/26/2017,237.0836662
5/30/2017,237.1349996
5/31/2017,237.1971662
6/1/2017,237.3031662
6/2/2017,237.4299995
6/5/2017,237.548833
6/6/2017,237.640833
6/7/2017,237.7383331
6/8/2017,237.8529999
6/9/2017,237.9273333
6/12/2017,238.0086667
6/13/2017,238.1340001
6/14/2017,238.2585002
6/15/2017,238.4258336
6/16/2017,238.565167
6/19/2017,238.7423337
6/20/2017,238.8948336
6/21/2017,239.0503337
6/22/2017,239.1756668
6/23/2017,239.302167
6/26/2017,239.4188337
6/27/2017,239.5120003
6/28/2017,239.6480003
6/29/2017,239.7458338
6/30/2017,239.8628339
7/3/2017,239.9756673
7/5/2017,240.1018341
7/6/2017,240.1886676
7/7/2017,240.3061676
7/10/2017,240.4451675
7/11/2017,240.606501
7/12/2017,240.7638341
7/13/2017,240.9396675
7/14/2017,241.1416674
7/17/2017,241.3115008
7/18/2017,241.4960009
7/19/2017,241.6596677
7/20/2017,241.8021678
7/21/2017,241.9435013
7/24/2017,242.0805013
7/25/2017,242.2361679
7/26/2017,242.3820012
7/27/2017,242.5225011
7/28/2017,242.6630013
7/31/2017,242.7965014
8/1/2017,242.9235016
8/2/2017,243.0531682
8/3/2017,243.1785016
8/4/2017,243.3041684
8/7/2017,243.4456683
8/8/2017,243.5836683
8/9/2017,243.6995015
8/10/2017,243.7608348
8/11/2017,243.8991679
8/14/2017,244.062001
8/15/2017,244.1986677
8/16/2017,244.3223343
8/17/2017,244.3730008
8/18/2017,244.4080009
8/21/2017,244.4270009
8/22/2017,244.4891675
8/23/2017,244.5401675
8/24/2017,244.5826675
8/25/2017,244.6026675
8/28/2017,244.6093343
8/29/2017,244.6236677
8/30/2017,244.6703341
8/31/2017,244.7341675
9/1/2017,244.8018341
9/5/2017,244.8460007
9/6/2017,244.9050006
9/7/2017,244.9436671
9/8/2017,244.982667
9/11/2017,245.0733337
9/12/2017,245.1968338
9/13/2017,245.288667
9/14/2017,245.4066671
9/15/2017,245.5106672
9/18/2017,245.6253339
9/19/2017,245.7393339
9/20/2017,245.8521673
9/21/2017,245.9865005
9/22/2017,246.0856672
9/25/2017,246.2120003
9/26/2017,246.3333336
9/27/2017,246.4640002
9/28/2017,246.5903336
9/29/2017,246.7683334
10/2/2017,246.9385002
10/3/2017,247.1133336
10/4/2017,247.296167
10/5/2017,247.4736671
10/6/2017,247.6395004
10/9/2017,247.7793338
10/10/2017,247.9308337
10/11/2017,248.0868337
10/12/2017,248.2143336
10/13/2017,248.3451668
10/16/2017,248.4853333
10/17/2017,248.6294998
10/18/2017,248.7678332
10/19/2017,248.9071665
10/20/2017,249.072333
10/23/2017,249.225666
10/24/2017,249.3888326
10/25/2017,249.5216657
10/26/2017,249.6579989
10/27/2017,249.8371653
10/30/2017,249.9928319
10/31/2017,250.1474986
11/1/2017,250.3179985
11/2/2017,250.4903318
11/3/2017,250.7351654
11/6/2017,250.9806656
11/7/2017,251.1828326
11/8/2017,251.3928324
11/9/2017,251.5799993
11/10/2017,251.8299993
11/13/2017,252.0903323
11/14/2017,252.3374992
11/15/2017,252.5208326
11/16/2017,252.7551659
11/17/2017,252.9863322
11/20/2017,253.215332
11/21/2017,253.4723317
11/22/2017,253.7208318
11/24/2017,253.9599983
11/27/2017,254.1723317
11/28/2017,254.4228317
11/29/2017,254.7003316
11/30/2017,255.0021652
12/1/2017,255.2953318
12/4/2017,255.5879987
12/5/2017,255.8209986
12/6/2017,256.0408318
12/7/2017,256.2724986
12/8/2017,256.5294988
12/11/2017,256.8148321
